,dt,value,veh_class,dir,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
1026,2021-12-04 13:30:00,701,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:30:00,13:30,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:30,2021-48,13,810,2021-4,12,4,5,Saturday
21654,2022-11-26 13:15:00,698,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:15:00,13:15,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-47,13,795,2022-4,11,4,5,Saturday
21749,2022-11-26 15:15:00,698,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:15:00,15:15,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:15,2022-47,15,915,2022-4,11,4,5,Saturday
1066,2021-12-04 15:45:00,692,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 15:45:00,15:45,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-48,15,945,2021-4,12,4,5,Saturday
10212,2021-12-30 11:00:00,692,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 11:00:00,11:00,2021-12-30 11,2021-12 11,12 11,2021-12,Thursday 11:00,2021-52,11,660,2021-4,12,4,3,Thursday
1038,2021-12-04 14:00:00,672,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 14:00:00,14:00,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:00,2021-48,14,840,2021-4,12,4,5,Saturday
15688,2022-12-17 15:15:00,664,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:15:00,15:15,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:15,2022-50,15,915,2022-4,12,4,5,Saturday
10206,2021-12-30 10:00:00,663,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 10:00:00,10:00,2021-12-30 10,2021-12 10,12 10,2021-12,Thursday 10:00,2021-52,10,600,2021-4,12,4,3,Thursday
1010,2021-12-04 12:45:00,660,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 12:45:00,12:45,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:45,2021-48,12,765,2021-4,12,4,5,Saturday
21773,2022-11-26 15:45:00,656,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:45:00,15:45,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:45,2022-47,15,945,2022-4,11,4,5,Saturday
1018,2021-12-04 13:00:00,652,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:00:00,13:00,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:00,2021-48,13,780,2021-4,12,4,5,Saturday
15699,2022-12-17 15:30:00,652,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:30:00,15:30,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:30,2022-50,15,930,2022-4,12,4,5,Saturday
21666,2022-11-26 13:30:00,651,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:30:00,13:30,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-47,13,810,2022-4,11,4,5,Saturday
9520,2021-12-27 13:45:00,645,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-27,1900-01-01 13:45:00,13:45,2021-12-27 13,2021-12 13,12 13,2021-12,Monday 13:45,2021-52,13,825,2021-4,12,4,0,Monday
21642,2022-11-26 13:00:00,644,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:00:00,13:00,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:00,2022-47,13,780,2022-4,11,4,5,Saturday
21785,2022-11-26 16:00:00,642,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 16:00:00,16:00,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:00,2022-47,16,960,2022-4,11,4,5,Saturday
14673,2022-12-16 13:45:00,633,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:45:00,13:45,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-50,13,825,2022-4,12,4,4,Friday
21690,2022-11-26 14:00:00,629,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 14:00:00,14:00,2022-11-26 14,2022-11 14,11 14,2022-11,Saturday 14:00,2022-47,14,840,2022-4,11,4,5,Saturday
10204,2021-12-30 10:00:00,625,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 10:00:00,10:00,2021-12-30 10,2021-12 10,12 10,2021-12,Thursday 10:00,2021-52,10,600,2021-4,12,4,3,Thursday
20675,2022-12-23 14:30:00,624,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 14:30:00,14:30,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:30,2022-51,14,870,2022-4,12,4,4,Friday
6464,2021-12-20 13:45:00,622,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-20,1900-01-01 13:45:00,13:45,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:45,2021-51,13,825,2021-4,12,4,0,Monday
5611,2021-12-18 16:00:00,621,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 16:00:00,16:00,2021-12-18 16,2021-12 16,12 16,2021-12,Saturday 16:00,2021-50,16,960,2021-4,12,4,5,Saturday
14680,2022-11-19 12:45:00,621,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-19,1900-01-01 12:45:00,12:45,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-46,12,765,2022-4,11,4,5,Saturday
15707,2022-12-17 15:45:00,619,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:45:00,15:45,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-50,15,945,2022-4,12,4,5,Saturday
5583,2021-12-18 14:45:00,618,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 14:45:00,14:45,2021-12-18 14,2021-12 14,12 14,2021-12,Saturday 14:45,2021-50,14,885,2021-4,12,4,5,Saturday
2560,2022-12-03 15:45:00,617,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-03,1900-01-01 15:45:00,15:45,2022-12-03 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-48,15,945,2022-4,12,4,5,Saturday
20707,2022-12-23 15:15:00,613,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 15:15:00,15:15,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:15,2022-51,15,915,2022-4,12,4,4,Friday
5458,2022-02-09 13:00:00,609,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-09,1900-01-01 13:00:00,13:00,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:00,2022-06,13,780,2022-1,2,1,2,Wednesday
20631,2022-12-23 13:30:00,609,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 13:30:00,13:30,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-51,13,810,2022-4,12,4,4,Friday
6775,2022-11-10 13:15:00,604,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-10,1900-01-01 13:15:00,13:15,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:15,2022-45,13,795,2022-4,11,4,3,Thursday
5599,2021-12-18 15:30:00,603,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 15:30:00,15:30,2021-12-18 15,2021-12 15,12 15,2021-12,Saturday 15:30,2021-50,15,930,2021-4,12,4,5,Saturday
21678,2022-11-26 13:45:00,602,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:45:00,13:45,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-47,13,825,2022-4,11,4,5,Saturday
21737,2022-11-26 15:00:00,599,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:00:00,15:00,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:00,2022-47,15,900,2022-4,11,4,5,Saturday
1078,2021-12-04 16:15:00,596,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 16:15:00,16:15,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:15,2021-48,16,975,2021-4,12,4,5,Saturday
1006,2021-12-04 12:30:00,585,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 12:30:00,12:30,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:30,2021-48,12,750,2021-4,12,4,5,Saturday
1046,2021-12-04 14:45:00,582,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 14:45:00,14:45,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:45,2021-48,14,885,2021-4,12,4,5,Saturday
5990,2021-12-19 12:45:00,578,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-19,1900-01-01 12:45:00,12:45,2021-12-19 12,2021-12 12,12 12,2021-12,Sunday 12:45,2021-51,12,765,2021-4,12,4,6,Sunday
15676,2022-12-17 15:00:00,575,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:00:00,15:00,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:00,2022-50,15,900,2022-4,12,4,5,Saturday
14728,2022-11-19 13:45:00,574,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-19,1900-01-01 13:45:00,13:45,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-46,13,825,2022-4,11,4,5,Saturday
21630,2022-11-26 12:45:00,574,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 12:45:00,12:45,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-47,12,765,2022-4,11,4,5,Saturday
22611,2022-11-27 12:45:00,573,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-27,1900-01-01 12:45:00,12:45,2022-11-27 12,2022-11 12,11 12,2022-11,Sunday 12:45,2022-48,12,765,2022-4,11,4,6,Sunday
15695,2022-12-17 15:30:00,572,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:30:00,15:30,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:30,2022-50,15,930,2022-4,12,4,5,Saturday
15594,2022-12-17 13:15:00,571,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 13:15:00,13:15,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-50,13,795,2022-4,12,4,5,Saturday
2521,2022-12-03 14:30:00,567,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-03,1900-01-01 14:30:00,14:30,2022-12-03 14,2022-12 14,12 14,2022-12,Saturday 14:30,2022-48,14,870,2022-4,12,4,5,Saturday
20728,2022-12-23 15:45:00,566,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 15:45:00,15:45,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:45,2022-51,15,945,2022-4,12,4,4,Friday
23886,2022-12-27 14:45:00,565,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-27,1900-01-01 14:45:00,14:45,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:45,2022-52,14,885,2022-4,12,4,1,Tuesday
5603,2021-12-18 15:45:00,564,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 15:45:00,15:45,2021-12-18 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-50,15,945,2021-4,12,4,5,Saturday
20599,2022-12-23 12:45:00,562,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 12:45:00,12:45,2022-12-23 12,2022-12 12,12 12,2022-12,Friday 12:45,2022-51,12,765,2022-4,12,4,4,Friday
6579,2022-03-07 18:00:00,561,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-03,2022-03-07,1900-01-01 18:00:00,18:00,2022-03-07 18,2022-03 18,03 18,2022-03,Monday 18:00,2022-10,18,1080,2022-1,3,1,0,Monday
22751,2022-11-27 15:45:00,560,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-27,1900-01-01 15:45:00,15:45,2022-11-27 15,2022-11 15,11 15,2022-11,Sunday 15:45,2022-48,15,945,2022-4,11,4,6,Sunday
9041,2022-02-15 11:00:00,559,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-15,1900-01-01 11:00:00,11:00,2022-02-15 11,2022-02 11,02 11,2022-02,Tuesday 11:00,2022-07,11,660,2022-1,2,1,1,Tuesday
