,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
1972,2021-12-29 14:00:00,4415,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 14:00:00,14:00,2021-12-29 14,2021-12 14,12 14,2021-12,Wednesday 14:00,2021-52,14,840,2021-4,12,4,2,Wednesday
1973,2021-12-29 15:00:00,4304,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 15:00:00,15:00,2021-12-29 15,2021-12 15,12 15,2021-12,Wednesday 15:00,2021-52,15,900,2021-4,12,4,2,Wednesday
1985,2021-12-30 12:00:00,3534,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 12:00:00,12:00,2021-12-30 12,2021-12 12,12 12,2021-12,Thursday 12:00,2021-52,12,720,2021-4,12,4,3,Thursday
1959,2021-12-28 16:00:00,3526,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 16:00:00,16:00,2021-12-28 16,2021-12 16,12 16,2021-12,Tuesday 16:00,2021-52,16,960,2021-4,12,4,1,Tuesday
1999,2021-12-31 14:00:00,3251,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-31,1900-01-01 14:00:00,14:00,2021-12-31 14,2021-12 14,12 14,2021-12,Friday 14:00,2021-52,14,840,2021-4,12,4,4,Friday
1998,2021-12-31 12:00:00,3179,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-31,1900-01-01 12:00:00,12:00,2021-12-31 12,2021-12 12,12 12,2021-12,Friday 12:00,2021-52,12,720,2021-4,12,4,4,Friday
1984,2021-12-30 11:00:00,2895,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 11:00:00,11:00,2021-12-30 11,2021-12 11,12 11,2021-12,Thursday 11:00,2021-52,11,660,2021-4,12,4,3,Thursday
1971,2021-12-29 12:00:00,2877,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 12:00:00,12:00,2021-12-29 12,2021-12 12,12 12,2021-12,Wednesday 12:00,2021-52,12,720,2021-4,12,4,2,Wednesday
1986,2021-12-30 14:00:00,2741,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 14:00:00,14:00,2021-12-30 14,2021-12 14,12 14,2021-12,Thursday 14:00,2021-52,14,840,2021-4,12,4,3,Thursday
1974,2021-12-29 16:00:00,2725,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 16:00:00,16:00,2021-12-29 16,2021-12 16,12 16,2021-12,Wednesday 16:00,2021-52,16,960,2021-4,12,4,2,Wednesday
1987,2021-12-30 16:00:00,2570,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 16:00:00,16:00,2021-12-30 16,2021-12 16,12 16,2021-12,Thursday 16:00,2021-52,16,960,2021-4,12,4,3,Thursday
1958,2021-12-28 14:00:00,2402,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 14:00:00,14:00,2021-12-28 14,2021-12 14,12 14,2021-12,Tuesday 14:00,2021-52,14,840,2021-4,12,4,1,Tuesday
30125,2022-12-16 13:15:00,2337,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:15:00,13:15,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-50,13,795,2022-4,12,4,4,Friday
30126,2022-12-16 13:30:00,2329,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:30:00,13:30,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-50,13,810,2022-4,12,4,4,Friday
1050,2021-12-18 19:00:00,2242,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-18,1900-01-01 19:00:00,19:00,2021-12-18 19,2021-12 19,12 19,2021-12,Saturday 19:00,2021-50,19,1140,2021-4,12,4,5,Saturday
1960,2021-12-28 17:00:00,2222,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-28,1900-01-01 17:00:00,17:00,2021-12-28 17,2021-12 17,12 17,2021-12,Tuesday 17:00,2021-52,17,1020,2021-4,12,4,1,Tuesday
30124,2022-12-16 13:00:00,2080,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:00:00,13:00,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:00,2022-50,13,780,2022-4,12,4,4,Friday
1975,2021-12-29 17:00:00,1987,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-29,1900-01-01 17:00:00,17:00,2021-12-29 17,2021-12 17,12 17,2021-12,Wednesday 17:00,2021-52,17,1020,2021-4,12,4,2,Wednesday
5675,2022-02-09 13:15:00,1915,person,NclNorthumberlandStSavilleRowWest,flow,2022-02,2022-02-09,1900-01-01 13:15:00,13:15,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:15,2022-06,13,795,2022-1,2,1,2,Wednesday
5674,2022-02-09 13:00:00,1829,person,NclNorthumberlandStSavilleRowWest,flow,2022-02,2022-02-09,1900-01-01 13:00:00,13:00,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:00,2022-06,13,780,2022-1,2,1,2,Wednesday
181,2021-12-04 13:45:00,1773,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:45:00,13:45,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:45,2021-48,13,825,2021-4,12,4,5,Saturday
179,2021-12-04 13:15:00,1704,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:15:00,13:15,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:15,2021-48,13,795,2021-4,12,4,5,Saturday
1983,2021-12-30 10:00:00,1625,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-30,1900-01-01 10:00:00,10:00,2021-12-30 10,2021-12 10,12 10,2021-12,Thursday 10:00,2021-52,10,600,2021-4,12,4,3,Thursday
26806,2022-11-10 13:15:00,1621,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-10,1900-01-01 13:15:00,13:15,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:15,2022-45,13,795,2022-4,11,4,3,Thursday
28231,2022-11-26 15:30:00,1606,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 15:30:00,15:30,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:30,2022-47,15,930,2022-4,11,4,5,Saturday
26805,2022-11-10 13:00:00,1594,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-10,1900-01-01 13:00:00,13:00,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:00,2022-45,13,780,2022-4,11,4,3,Thursday
30127,2022-12-16 13:45:00,1561,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-16,1900-01-01 13:45:00,13:45,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-50,13,825,2022-4,12,4,4,Friday
177,2021-12-04 12:45:00,1540,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 12:45:00,12:45,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:45,2021-48,12,765,2021-4,12,4,5,Saturday
30227,2022-12-17 14:45:00,1539,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:45:00,14:45,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:45,2022-50,14,885,2022-4,12,4,5,Saturday
28224,2022-11-26 13:45:00,1536,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:45:00,13:45,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-47,13,825,2022-4,11,4,5,Saturday
28222,2022-11-26 13:15:00,1526,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:15:00,13:15,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-47,13,795,2022-4,11,4,5,Saturday
183,2021-12-04 14:30:00,1522,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 14:30:00,14:30,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:30,2021-48,14,870,2021-4,12,4,5,Saturday
30231,2022-12-17 15:45:00,1522,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:45:00,15:45,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-50,15,945,2022-4,12,4,5,Saturday
28223,2022-11-26 13:30:00,1516,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:30:00,13:30,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-47,13,810,2022-4,11,4,5,Saturday
28220,2022-11-26 12:45:00,1515,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 12:45:00,12:45,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-47,12,765,2022-4,11,4,5,Saturday
28232,2022-11-26 15:45:00,1512,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 15:45:00,15:45,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:45,2022-47,15,945,2022-4,11,4,5,Saturday
182,2021-12-04 14:00:00,1509,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 14:00:00,14:00,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:00,2021-48,14,840,2021-4,12,4,5,Saturday
28235,2022-11-26 16:30:00,1493,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:30:00,16:30,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:30,2022-47,16,990,2022-4,11,4,5,Saturday
194,2021-12-04 17:15:00,1483,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 17:15:00,17:15,2021-12-04 17,2021-12 17,12 17,2021-12,Saturday 17:15,2021-48,17,1035,2021-4,12,4,5,Saturday
30230,2022-12-17 15:30:00,1482,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:30:00,15:30,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:30,2022-50,15,930,2022-4,12,4,5,Saturday
28236,2022-11-26 16:45:00,1481,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:45:00,16:45,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:45,2022-47,16,1005,2022-4,11,4,5,Saturday
38552,2023-03-15 12:30:00,1459,person,NclNorthumberlandStSavilleRowWest,flow,2023-03,2023-03-15,1900-01-01 12:30:00,12:30,2023-03-15 12,2023-03 12,03 12,2023-03,Wednesday 12:30,2023-11,12,750,2023-1,3,1,2,Wednesday
27562,2022-11-19 13:30:00,1457,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 13:30:00,13:30,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-46,13,810,2022-4,11,4,5,Saturday
30226,2022-12-17 14:30:00,1454,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:30:00,14:30,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:30,2022-50,14,870,2022-4,12,4,5,Saturday
28219,2022-11-26 12:30:00,1453,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 12:30:00,12:30,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-47,12,750,2022-4,11,4,5,Saturday
28234,2022-11-26 16:15:00,1449,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:15:00,16:15,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:15,2022-47,16,975,2022-4,11,4,5,Saturday
30232,2022-12-17 16:00:00,1443,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 16:00:00,16:00,2022-12-17 16,2022-12 16,12 16,2022-12,Saturday 16:00,2022-50,16,960,2022-4,12,4,5,Saturday
176,2021-12-04 12:30:00,1436,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 12:30:00,12:30,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:30,2021-48,12,750,2021-4,12,4,5,Saturday
29564,2022-12-10 13:15:00,1435,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 13:15:00,13:15,2022-12-10 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-49,13,795,2022-4,12,4,5,Saturday
30229,2022-12-17 15:15:00,1435,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:15:00,15:15,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:15,2022-50,15,915,2022-4,12,4,5,Saturday
178,2021-12-04 13:00:00,1433,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:00:00,13:00,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:00,2021-48,13,780,2021-4,12,4,5,Saturday
28123,2022-11-25 12:30:00,1427,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 12:30:00,12:30,2022-11-25 12,2022-11 12,11 12,2022-11,Friday 12:30,2022-47,12,750,2022-4,11,4,4,Friday
30233,2022-12-17 16:15:00,1423,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 16:15:00,16:15,2022-12-17 16,2022-12 16,12 16,2022-12,Saturday 16:15,2022-50,16,975,2022-4,12,4,5,Saturday
190,2021-12-04 16:15:00,1422,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:15:00,16:15,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:15,2021-48,16,975,2021-4,12,4,5,Saturday
28127,2022-11-25 13:30:00,1420,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 13:30:00,13:30,2022-11-25 13,2022-11 13,11 13,2022-11,Friday 13:30,2022-47,13,810,2022-4,11,4,4,Friday
28233,2022-11-26 16:00:00,1413,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 16:00:00,16:00,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:00,2022-47,16,960,2022-4,11,4,5,Saturday
28230,2022-11-26 15:15:00,1410,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 15:15:00,15:15,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:15,2022-47,15,915,2022-4,11,4,5,Saturday
30748,2022-12-23 14:45:00,1405,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 14:45:00,14:45,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:45,2022-51,14,885,2022-4,12,4,4,Friday
30751,2022-12-23 15:30:00,1404,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 15:30:00,15:30,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:30,2022-51,15,930,2022-4,12,4,4,Friday
30752,2022-12-23 15:45:00,1395,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 15:45:00,15:45,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:45,2022-51,15,945,2022-4,12,4,4,Friday
28218,2022-11-26 12:15:00,1393,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 12:15:00,12:15,2022-11-26 12,2022-11 12,11 12,2022-11,Saturday 12:15,2022-47,12,735,2022-4,11,4,5,Saturday
180,2021-12-04 13:30:00,1391,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 13:30:00,13:30,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:30,2021-48,13,810,2021-4,12,4,5,Saturday
28124,2022-11-25 12:45:00,1382,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 12:45:00,12:45,2022-11-25 12,2022-11 12,11 12,2022-11,Friday 12:45,2022-47,12,765,2022-4,11,4,4,Friday
27559,2022-11-19 12:45:00,1377,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 12:45:00,12:45,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-46,12,765,2022-4,11,4,5,Saturday
29562,2022-12-10 12:45:00,1372,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 12:45:00,12:45,2022-12-10 12,2022-12 12,12 12,2022-12,Saturday 12:45,2022-49,12,765,2022-4,12,4,5,Saturday
28225,2022-11-26 14:00:00,1370,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 14:00:00,14:00,2022-11-26 14,2022-11 14,11 14,2022-11,Saturday 14:00,2022-47,14,840,2022-4,11,4,5,Saturday
188,2021-12-04 15:45:00,1361,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 15:45:00,15:45,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-48,15,945,2021-4,12,4,5,Saturday
31116,2022-12-27 14:30:00,1359,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 14:30:00,14:30,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:30,2022-52,14,870,2022-4,12,4,1,Tuesday
31304,2022-12-29 13:45:00,1355,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-29,1900-01-01 13:45:00,13:45,2022-12-29 13,2022-12 13,12 13,2022-12,Thursday 13:45,2022-52,13,825,2022-4,12,4,3,Thursday
30228,2022-12-17 15:00:00,1354,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:00:00,15:00,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:00,2022-50,15,900,2022-4,12,4,5,Saturday
27558,2022-11-19 12:30:00,1351,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 12:30:00,12:30,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-46,12,750,2022-4,11,4,5,Saturday
30225,2022-12-17 14:15:00,1350,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:15:00,14:15,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:15,2022-50,14,855,2022-4,12,4,5,Saturday
30750,2022-12-23 15:15:00,1347,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 15:15:00,15:15,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:15,2022-51,15,915,2022-4,12,4,4,Friday
31117,2022-12-27 14:45:00,1346,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 14:45:00,14:45,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:45,2022-52,14,885,2022-4,12,4,1,Tuesday
28126,2022-11-25 13:15:00,1341,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 13:15:00,13:15,2022-11-25 13,2022-11 13,11 13,2022-11,Friday 13:15,2022-47,13,795,2022-4,11,4,4,Friday
173,2021-12-04 11:45:00,1334,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 11:45:00,11:45,2021-12-04 11,2021-12 11,12 11,2021-12,Saturday 11:45,2021-48,11,705,2021-4,12,4,5,Saturday
31119,2022-12-27 15:15:00,1334,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 15:15:00,15:15,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:15,2022-52,15,915,2022-4,12,4,1,Tuesday
30215,2022-12-17 11:45:00,1333,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 11:45:00,11:45,2022-12-17 11,2022-12 11,12 11,2022-12,Saturday 11:45,2022-50,11,705,2022-4,12,4,5,Saturday
191,2021-12-04 16:30:00,1331,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:30:00,16:30,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:30,2021-48,16,990,2021-4,12,4,5,Saturday
27563,2022-11-19 13:45:00,1329,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 13:45:00,13:45,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-46,13,825,2022-4,11,4,5,Saturday
29583,2022-12-10 18:00:00,1328,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 18:00:00,18:00,2022-12-10 18,2022-12 18,12 18,2022-12,Saturday 18:00,2022-49,18,1080,2022-4,12,4,5,Saturday
30214,2022-12-17 11:30:00,1323,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 11:30:00,11:30,2022-12-17 11,2022-12 11,12 11,2022-12,Saturday 11:30,2022-50,11,690,2022-4,12,4,5,Saturday
30682,2022-12-22 12:30:00,1323,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-22,1900-01-01 12:30:00,12:30,2022-12-22 12,2022-12 12,12 12,2022-12,Thursday 12:30,2022-51,12,750,2022-4,12,4,3,Thursday
30743,2022-12-23 13:30:00,1322,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 13:30:00,13:30,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-51,13,810,2022-4,12,4,4,Friday
31306,2022-12-29 14:15:00,1322,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-29,1900-01-01 14:15:00,14:15,2022-12-29 14,2022-12 14,12 14,2022-12,Thursday 14:15,2022-52,14,855,2022-4,12,4,3,Thursday
29574,2022-12-10 15:45:00,1321,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 15:45:00,15:45,2022-12-10 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-49,15,945,2022-4,12,4,5,Saturday
30221,2022-12-17 13:15:00,1314,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 13:15:00,13:15,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-50,13,795,2022-4,12,4,5,Saturday
31121,2022-12-27 15:45:00,1314,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 15:45:00,15:45,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:45,2022-52,15,945,2022-4,12,4,1,Tuesday
28221,2022-11-26 13:00:00,1311,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:00:00,13:00,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:00,2022-47,13,780,2022-4,11,4,5,Saturday
31120,2022-12-27 15:30:00,1309,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 15:30:00,15:30,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:30,2022-52,15,930,2022-4,12,4,1,Tuesday
28138,2022-11-25 16:15:00,1307,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 16:15:00,16:15,2022-11-25 16,2022-11 16,11 16,2022-11,Friday 16:15,2022-47,16,975,2022-4,11,4,4,Friday
30683,2022-12-22 12:45:00,1305,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-22,1900-01-01 12:45:00,12:45,2022-12-22 12,2022-12 12,12 12,2022-12,Thursday 12:45,2022-51,12,765,2022-4,12,4,3,Thursday
27561,2022-11-19 13:15:00,1304,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 13:15:00,13:15,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-46,13,795,2022-4,11,4,5,Saturday
1219,2021-12-20 13:30:00,1303,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-20,1900-01-01 13:30:00,13:30,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:30,2021-51,13,810,2021-4,12,4,0,Monday
30747,2022-12-23 14:30:00,1301,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 14:30:00,14:30,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:30,2022-51,14,870,2022-4,12,4,4,Friday
38848,2023-03-18 14:45:00,1301,person,NclNorthumberlandStSavilleRowWest,flow,2023-03,2023-03-18,1900-01-01 14:45:00,14:45,2023-03-18 14,2023-03 14,03 14,2023-03,Saturday 14:45,2023-11,14,885,2023-1,3,1,5,Saturday
189,2021-12-04 16:00:00,1298,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:00:00,16:00,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:00,2021-48,16,960,2021-4,12,4,5,Saturday
174,2021-12-04 12:00:00,1295,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 12:00:00,12:00,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:00,2021-48,12,720,2021-4,12,4,5,Saturday
30744,2022-12-23 13:45:00,1295,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 13:45:00,13:45,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-51,13,825,2022-4,12,4,4,Friday
28902,2022-12-03 15:45:00,1295,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-03,1900-01-01 15:45:00,15:45,2022-12-03 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-48,15,945,2022-4,12,4,5,Saturday
